condition,model,accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro
Clean,Tuned SVM,0.7885714285714286,0.7951953722643865,0.8132838731466048,0.7885714285714286,0.787537959789527,0.7828331852396564
Clean,Tuned Random Forest,0.8447619047619047,0.8814921647712246,0.856300810617222,0.8447619047619047,0.8446579298483863,0.8607077596161463
Clean,1D-CNN,0.9657142857142857,0.9526315789473684,0.969344537815126,0.9657142857142857,0.964878562142754,0.9598620540228224
20 dB SNR,Tuned SVM,0.7923809523809524,0.7979191636061721,0.8167675917428004,0.7923809523809524,0.7919728252977793,0.7868984935431534
20 dB SNR,Tuned Random Forest,0.8457142857142858,0.8823145331922772,0.8567490325122951,0.8457142857142858,0.8455083128947166,0.8614396927902229
20 dB SNR,1D-CNN,0.9657142857142857,0.9526315789473684,0.969344537815126,0.9657142857142857,0.964878562142754,0.9598620540228224
10 dB SNR,Tuned SVM,0.7971428571428572,0.8061480474491043,0.825179316513963,0.7971428571428572,0.7999131072309996,0.7964680976551809
10 dB SNR,Tuned Random Forest,0.8590476190476191,0.893827691087014,0.8770277104307108,0.8590476190476191,0.8604586753375049,0.8729424913503586
10 dB SNR,1D-CNN,0.9628571428571429,0.9486842105263158,0.9670803831736776,0.9628571428571429,0.9618525902476643,0.9563380728559967
