fold,model,accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro
1,SVM,0.8601694915254238,0.8389154704944178,0.8724557073758447,0.8601694915254238,0.8496457813772028,0.8310116174455703
1,Random Forest,0.8870056497175142,0.8653198653198654,0.8987287612510498,0.8870056497175142,0.88331632673211,0.8760155477285211
2,SVM,0.7486772486772487,0.654290232205339,0.6505269634207494,0.7486772486772487,0.693898084437213,0.6009443937569154
2,Random Forest,0.7870370370370371,0.6892143189214319,0.6879663546330212,0.7870370370370371,0.7262411901826289,0.6386929300232108
3,SVM,0.7312252964426877,0.7828763701548679,0.8375561917017933,0.7312252964426877,0.7445551554254966,0.7457935494633193
3,Random Forest,0.9538866930171278,0.9341130604288499,0.9544581112880919,0.9538866930171278,0.9537691124752965,0.9349152507449846
4,SVM,0.8622848200312989,0.8327352472089314,0.8771500110579363,0.8622848200312989,0.8695863709810808,0.6307723577235773
4,Random Forest,0.92018779342723,0.9120813397129187,0.9398692798698106,0.92018779342723,0.9258958095327094,0.6829159001933871
