feature_set,model,accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro
Time-domain only,SVM,0.8095238095238095,0.838476327758044,0.824612104784296,0.8095238095238095,0.8024276903943268,0.811276447351559
Time-domain only,Random Forest,0.9314285714285714,0.937036332980693,0.9348313016118823,0.9314285714285714,0.9297280393551188,0.9296536078868898
Frequency-domain only,SVM,0.84,0.8492553226659614,0.8646104099857767,0.84,0.8419057448543972,0.82505040217341
Frequency-domain only,Random Forest,0.8866666666666667,0.9022616517798854,0.9085183955316366,0.8866666666666667,0.889071572566361,0.9006240815434154
Combined DSP,SVM,0.8533333333333334,0.8795341840782862,0.8725102985518325,0.8533333333333334,0.8570497242083979,0.867179036328291
Combined DSP,Random Forest,0.8990476190476191,0.9283671647712246,0.9133145763414355,0.8990476190476191,0.899644925068762,0.9158160853272276
